wallId,groupIndex,connection,clue1,clue2,clue3,clue4
1,1,Music Magazines,Billboard,Gaffa,NME,Metal Hammer
1,2,Advertising Mediums,Television,Radio,Blimp,Popup
1,3,Mixed Etymology Greek Latin,Antacid,Bigamy,Petroleum,Minneapolis
1,4,Contain Injuries,Cute,Unwound,Stabilise,Breakfast
2,1,Sins in Corinthians,Boasting,Drunkeness,Effeminacy,Fleshliness
2,2,Not real words,Refudiate,Unhabitable,Runner-Ups,Themselves
2,3,Right wing Buzzwords,Woke,Cultural Marxism,Soyboy,Job Creators
2,4,Contain Musicians,Firepink,Backslash,Carbonous,Resealed
3,1,Perfume Houses,Janeiro,Cologne,Gaultier,Chemistry
3,2,Premium Cured Hams,Parma,Iberico,Jabugo,Presunto
3,3,South Americal Capitals,Montevideo,Cayenne,Lima,Georgetown
3,4,Beans,Navy,Kidney,Adzuki,Black
4,1,Start with Birds,Wrench,Crowd,Titular,Gullable
4,2,DIY Tools,Kango,Plier,Hammar,Plunger
4,3,Vodka Cocktails,Screwdriver,Wallbanger,Esquire,Cosmopolitan
4,4,Hip Hop Genres,Nerdcore,Trap,Crunk,Drill
